"analysis_id","family","temporal_role","analysis_role","outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","n","effective_f","effective_f_critical_value","first_stage_strong","reduced_form_p_value","reduced_form_p_holm","reduced_form_holm_signal","anderson_rubin_p_beta0","anderson_rubin_p_beta0_holm_within_spec","ar_holm_rejects_zero","ar_95_contains_zero","ar_95_bounded","ar_95_n_components","ar_95_disconnected","evidence_status"
"census__migration__technical_recent_work_migration__state_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.953786028725219,1,FALSE,0.953786028725224,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__technical_recent_work_migration__state_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.677637615317793,1,FALSE,0.677637615317793,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__electricity_access_change__region_main__nonzero_mean","census_housing","long_run_post","causal_mechanism","electricity_access_change","electricity_share_households_change_2011_2001","basic_services","core","households","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.526327134860897,1,FALSE,0.526327134860932,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__electricity_access_change__region_main__glottolog_mean","census_housing","long_run_post","causal_mechanism","electricity_access_change","electricity_share_households_change_2011_2001","basic_services","core","households","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.811658414820692,1,FALSE,0.811658414820688,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__electricity_access_change__region_main__dyen_noncognate","census_housing","long_run_post","causal_mechanism","electricity_access_change","electricity_share_households_change_2011_2001","basic_services","core","households","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.62400140472432,1,FALSE,0.624001404724299,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__electricity_access_change__state_main__nonzero_mean","census_housing","long_run_post","causal_mechanism","electricity_access_change","electricity_share_households_change_2011_2001","basic_services","core","households","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.705275310215901,1,FALSE,0.705275310215901,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__electricity_access_change__state_main__glottolog_mean","census_housing","long_run_post","causal_mechanism","electricity_access_change","electricity_share_households_change_2011_2001","basic_services","core","households","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.523559900516241,1,FALSE,0.523559900516241,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__electricity_access_change__state_main__dyen_noncognate","census_housing","long_run_post","causal_mechanism","electricity_access_change","electricity_share_households_change_2011_2001","basic_services","core","households","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.748295560686859,1,FALSE,0.748295560686856,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__no_lighting_change__region_main__nonzero_mean","census_housing","long_run_post","causal_mechanism","no_lighting_change","no_lighting_share_households_change_2011_2001","basic_services","secondary","households","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.514396035523777,1,FALSE,0.514396035523788,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__no_lighting_change__region_main__glottolog_mean","census_housing","long_run_post","causal_mechanism","no_lighting_change","no_lighting_share_households_change_2011_2001","basic_services","secondary","households","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.356217669701026,1,FALSE,0.356217669701013,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__no_lighting_change__region_main__dyen_noncognate","census_housing","long_run_post","causal_mechanism","no_lighting_change","no_lighting_share_households_change_2011_2001","basic_services","secondary","households","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.174017836499195,1,FALSE,0.174017836499197,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__no_lighting_change__state_main__nonzero_mean","census_housing","long_run_post","causal_mechanism","no_lighting_change","no_lighting_share_households_change_2011_2001","basic_services","secondary","households","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.962651570960622,1,FALSE,0.962651570960621,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__no_lighting_change__state_main__glottolog_mean","census_housing","long_run_post","causal_mechanism","no_lighting_change","no_lighting_share_households_change_2011_2001","basic_services","secondary","households","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.331694488514663,1,FALSE,0.331694488514662,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__no_lighting_change__state_main__dyen_noncognate","census_housing","long_run_post","causal_mechanism","no_lighting_change","no_lighting_share_households_change_2011_2001","basic_services","secondary","households","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.687329340689353,1,FALSE,0.68732934068935,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__banking_access_change__region_main__nonzero_mean","census_housing","long_run_post","causal_mechanism","banking_access_change","banking_share_households_change_2011_2001","financial_access","core","households","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,3.27572274557972e-08,2.62057819646378e-07,TRUE,3.27572274557537e-08,2.6205781964603e-07,TRUE,FALSE,FALSE,2,TRUE,"weak_iv_robust_signal"
"census__housing__banking_access_change__region_main__glottolog_mean","census_housing","long_run_post","causal_mechanism","banking_access_change","banking_share_households_change_2011_2001","financial_access","core","households","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.418805839931562,1,FALSE,0.41880583993157,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__banking_access_change__region_main__dyen_noncognate","census_housing","long_run_post","causal_mechanism","banking_access_change","banking_share_households_change_2011_2001","financial_access","core","households","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.30746793433541,1,FALSE,0.307467934335411,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__banking_access_change__state_main__nonzero_mean","census_housing","long_run_post","causal_mechanism","banking_access_change","banking_share_households_change_2011_2001","financial_access","core","households","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,3.58127746159913e-05,0.000250689422311939,TRUE,3.58127746159914e-05,0.00025068942231194,TRUE,FALSE,FALSE,1,FALSE,"weak_iv_robust_signal"
"census__housing__banking_access_change__state_main__glottolog_mean","census_housing","long_run_post","causal_mechanism","banking_access_change","banking_share_households_change_2011_2001","financial_access","core","households","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.833774598166769,1,FALSE,0.83377459816677,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__banking_access_change__state_main__dyen_noncognate","census_housing","long_run_post","causal_mechanism","banking_access_change","banking_share_households_change_2011_2001","financial_access","core","households","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.436081199112775,1,FALSE,0.436081199112774,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__housing__television_access_change__region_main__nonzero_mean","census_housing","long_run_post","causal_mechanism","television_access_change","television_share_households_change_2011_2001","communications_assets","secondary","households","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,5.58181566472774e-05,0.000390727096530942,TRUE,5.58181566472072e-05,0.00039072709653045,TRUE,FALSE,FALSE,2,TRUE,"weak_iv_robust_signal"
