"specification_id","n_endogenous","n_excluded_instruments","test","status","statistic","df","p.value","reason","analysis_id"
"region_main__glottolog_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__glottolog_mean_shastry"
"region_main__dyen_noncognate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__dyen_noncognate"
"region_main__dyen_noncognate_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__dyen_noncognate_shastry"
"region_expanded__nonzero_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__nonzero_mean"
"region_expanded__distant_share",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__distant_share"
"region_expanded__top3_legacy",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__top3_legacy"
"region_expanded__nonzero_mean_hindi_urdu",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__nonzero_mean_hindi_urdu"
"region_expanded__nonzero_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__nonzero_mean_shastry"
"region_expanded__nonzero_mean_sensitivity_low",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__nonzero_mean_sensitivity_low"
"region_expanded__nonzero_mean_sensitivity_high",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__nonzero_mean_sensitivity_high"
"region_expanded__nonzero_mean_hindi_urdu_separate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__nonzero_mean_hindi_urdu_separate"
"region_expanded__distance_shares_all",1,5,"sargan","estimated",11.1413303120306,4,0.025020742772326,NA,"district_iv_diagnostic__region_expanded__distance_shares_all"
"region_expanded__distance_shares_all_unmapped",1,5,"sargan","estimated",18.3547772413499,4,0.00105183379886026,NA,"district_iv_diagnostic__region_expanded__distance_shares_all_unmapped"
"region_expanded__distance_shares_mapped",1,5,"sargan","estimated",10.9094304643067,4,0.0276009710285712,NA,"district_iv_diagnostic__region_expanded__distance_shares_mapped"
"region_expanded__glottolog_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__glottolog_mean"
"region_expanded__glottolog_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__glottolog_mean_shastry"
"region_expanded__dyen_noncognate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__dyen_noncognate"
"region_expanded__dyen_noncognate_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_expanded__dyen_noncognate_shastry"
"state_main__nonzero_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__nonzero_mean"
"state_main__distant_share",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__distant_share"
"state_main__top3_legacy",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__top3_legacy"
"state_main__nonzero_mean_hindi_urdu",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__nonzero_mean_hindi_urdu"
"state_main__nonzero_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__nonzero_mean_shastry"
"state_main__nonzero_mean_sensitivity_low",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__nonzero_mean_sensitivity_low"
"state_main__nonzero_mean_sensitivity_high",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__nonzero_mean_sensitivity_high"
"state_main__nonzero_mean_hindi_urdu_separate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__nonzero_mean_hindi_urdu_separate"
"state_main__distance_shares_all",1,5,"sargan","estimated",10.7411291735587,4,0.0296327091479661,NA,"district_iv_diagnostic__state_main__distance_shares_all"
"state_main__distance_shares_all_unmapped",1,5,"sargan","estimated",8.97908003064983,4,0.0616245130035987,NA,"district_iv_diagnostic__state_main__distance_shares_all_unmapped"
"state_main__distance_shares_mapped",1,5,"sargan","estimated",8.50823363339224,4,0.0746380467432053,NA,"district_iv_diagnostic__state_main__distance_shares_mapped"
"state_main__glottolog_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__glottolog_mean"
"state_main__glottolog_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__glottolog_mean_shastry"
"state_main__dyen_noncognate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__dyen_noncognate"
"state_main__dyen_noncognate_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_main__dyen_noncognate_shastry"
"state_expanded__nonzero_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__nonzero_mean"
"state_expanded__distant_share",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__distant_share"
"state_expanded__top3_legacy",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__top3_legacy"
"state_expanded__nonzero_mean_hindi_urdu",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__nonzero_mean_hindi_urdu"
"state_expanded__nonzero_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__nonzero_mean_shastry"
"state_expanded__nonzero_mean_sensitivity_low",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__nonzero_mean_sensitivity_low"
"state_expanded__nonzero_mean_sensitivity_high",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__nonzero_mean_sensitivity_high"
"state_expanded__nonzero_mean_hindi_urdu_separate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__nonzero_mean_hindi_urdu_separate"
"state_expanded__distance_shares_all",1,5,"sargan","estimated",9.96764856981104,4,0.0409761778651961,NA,"district_iv_diagnostic__state_expanded__distance_shares_all"
"state_expanded__distance_shares_all_unmapped",1,5,"sargan","estimated",8.39918081800542,4,0.0780028001157419,NA,"district_iv_diagnostic__state_expanded__distance_shares_all_unmapped"
"state_expanded__distance_shares_mapped",1,5,"sargan","estimated",7.60654173707633,4,0.107101986699963,NA,"district_iv_diagnostic__state_expanded__distance_shares_mapped"
"state_expanded__glottolog_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__glottolog_mean"
"state_expanded__glottolog_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__glottolog_mean_shastry"
"state_expanded__dyen_noncognate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__dyen_noncognate"
"state_expanded__dyen_noncognate_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__state_expanded__dyen_noncognate_shastry"
"absorption__region_fe",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_fe"
"absorption__state_fe",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_fe"
"absorption__census_controls",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__census_controls"
"absorption__expanded_controls",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__expanded_controls"
"absorption__region_fe_main_without_human_capital",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_fe_main_without_human_capital"
"absorption__state_fe_main_without_human_capital",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_fe_main_without_human_capital"
"absorption__region_fe_expanded_without_human_capital",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_fe_expanded_without_human_capital"
"absorption__state_fe_expanded_without_human_capital",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_fe_expanded_without_human_capital"
"absorption__region_fe_plus_basic_scale_geography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_fe_plus_basic_scale_geography"
"absorption__region_fe_plus_social_composition",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_fe_plus_social_composition"
"absorption__region_fe_plus_human_capital",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_fe_plus_human_capital"
"absorption__region_fe_plus_demography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_fe_plus_demography"
"absorption__region_fe_plus_economic_structure",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_fe_plus_economic_structure"
"absorption__state_fe_plus_basic_scale_geography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_fe_plus_basic_scale_geography"
"absorption__state_fe_plus_social_composition",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_fe_plus_social_composition"
"absorption__state_fe_plus_human_capital",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_fe_plus_human_capital"
"absorption__state_fe_plus_demography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_fe_plus_demography"
"absorption__state_fe_plus_economic_structure",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_fe_plus_economic_structure"
"absorption__region_main_without_basic_scale_geography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_main_without_basic_scale_geography"
"absorption__region_block_only_social_composition",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_block_only_social_composition"
"absorption__region_main_without_social_composition",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_main_without_social_composition"
"absorption__region_block_only_human_capital",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_block_only_human_capital"
"absorption__region_block_only_demography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_block_only_demography"
"absorption__region_main_without_demography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_main_without_demography"
"absorption__region_block_only_economic_structure",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_block_only_economic_structure"
"absorption__region_main_without_economic_structure",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_main_without_economic_structure"
"absorption__region_block_only_basic_development",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_block_only_basic_development"
"absorption__region_main_without_basic_development",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_main_without_basic_development"
"absorption__state_main_without_basic_scale_geography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_main_without_basic_scale_geography"
"absorption__state_block_only_social_composition",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_block_only_social_composition"
"absorption__state_main_without_social_composition",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_main_without_social_composition"
"absorption__state_block_only_human_capital",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_block_only_human_capital"
"absorption__state_block_only_demography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_block_only_demography"
"absorption__state_main_without_demography",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_main_without_demography"
"absorption__state_block_only_economic_structure",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_block_only_economic_structure"
"absorption__state_main_without_economic_structure",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_main_without_economic_structure"
"absorption__state_block_only_basic_development",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_block_only_basic_development"
"absorption__state_main_without_basic_development",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_main_without_basic_development"
"absorption__region_main_literacy",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_main_literacy"
"absorption__region_main_decomposed_economic",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_main_decomposed_economic"
"absorption__region_main_literacy_decomposed_economic",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__region_main_literacy_decomposed_economic"
"absorption__state_main_literacy",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_main_literacy"
"absorption__state_main_decomposed_economic",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_main_decomposed_economic"
"absorption__state_main_literacy_decomposed_economic",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__absorption__state_main_literacy_decomposed_economic"
