"harmonized_region_id","component_class","n_source_1991_districts","n_vanneman_panel_units","n_target_2001_districts","harmonized_state_code_2001","vanneman_amalgamation_status","vanneman_amalgamation_eligible","nontrivial_boundary_change","analysis_ready"
"geo_component_0153","one_to_one",1,1,1,"19","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0154","one_to_one",1,1,1,"19","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0036","split",1,1,2,"10","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0044","split",1,1,2,"06","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0066","split",1,1,3,"29","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0067","split",1,1,2,"29","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0080","split",1,1,2,"23","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0088","split",1,1,2,"27","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0093","split",1,1,2,"27","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0109","split",1,1,4,"21","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0110","split",1,1,2,"21","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0111","split",1,1,2,"21","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0112","split",1,1,4,"21","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0113","split",1,1,3,"21","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0119","split",1,1,2,"08","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0121","split",1,1,2,"08","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0124","split",1,1,3,"33","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0125","split",1,1,2,"33","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0131","split",1,1,2,"05","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0133","split",1,1,2,"09","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0150","split",1,1,3,"09","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0017","many_to_many",2,0,2,"18","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0029","many_to_many",2,0,5,"10","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0039","many_to_many",2,1,3,"20","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0102","many_to_many",2,0,3,"17","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0129","many_to_many",2,0,3,"16","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0138","many_to_many",2,1,3,"09","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0144","many_to_many",2,0,2,"09","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0009","one_to_one",1,0,1,"28","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0014","one_to_one",1,0,1,"12","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0015","one_to_one",1,0,1,"12","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0018","one_to_one",1,0,1,"18","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0020","one_to_one",1,0,1,"18","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0021","one_to_one",1,0,1,"18","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0024","one_to_one",1,0,1,"18","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0025","one_to_one",1,0,1,"18","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0026","one_to_one",1,0,1,"18","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0028","one_to_one",1,0,1,"10","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0032","one_to_one",1,0,1,"10","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0033","one_to_one",1,0,1,"10","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0034","one_to_one",1,0,1,"10","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0035","one_to_one",1,0,1,"10","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0037","one_to_one",1,0,1,"10","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0038","one_to_one",1,0,1,"10","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0046","one_to_one",1,0,1,"06","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0047","one_to_one",1,0,1,"06","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0049","one_to_one",1,0,1,"06","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0051","one_to_one",1,0,1,"02","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0052","one_to_one",1,0,1,"02","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0053","one_to_one",1,0,1,"02","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0054","one_to_one",1,0,1,"02","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0055","one_to_one",1,0,1,"01","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0056","one_to_one",1,0,1,"01","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0057","one_to_one",1,0,1,"01","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0058","one_to_one",1,0,1,"01","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0059","one_to_one",1,0,1,"01","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0060","one_to_one",1,0,1,"01","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0061","one_to_one",1,0,1,"01","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0062","one_to_one",1,0,1,"01","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0063","one_to_one",1,0,1,"01","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0069","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0072","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0075","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0076","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0078","one_to_one",1,0,1,"23","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0079","one_to_one",1,0,1,"23","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0081","one_to_one",1,0,1,"22","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0083","one_to_one",1,0,1,"27","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0087","one_to_one",1,0,1,"27","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0091","one_to_one",1,0,1,"27","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0094","one_to_one",1,0,1,"14","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0095","one_to_one",1,0,1,"14","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0096","one_to_one",1,0,1,"14","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0097","one_to_one",1,0,1,"14","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0098","one_to_one",1,0,1,"14","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0100","one_to_one",1,0,1,"14","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0101","one_to_one",1,0,1,"17","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0104","one_to_one",1,0,1,"13","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0105","one_to_one",1,0,1,"13","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0106","one_to_one",1,0,1,"13","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0107","one_to_one",1,0,1,"13","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0108","one_to_one",1,0,1,"13","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0128","one_to_one",1,0,1,"16","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0135","one_to_one",1,0,1,"05","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0141","one_to_one",1,0,1,"09","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0155","one_to_one",1,0,1,"04","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0013","split",1,0,2,"12","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0016","split",1,0,2,"12","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0030","split",1,0,2,"10","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0031","split",1,0,2,"10","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0099","split",1,0,2,"14","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0103","split",1,0,2,"13","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
"geo_component_0137","split",1,0,2,"09","incomplete_vanneman_1991_membership",FALSE,TRUE,FALSE
