"candidate_id","reference_section","analysis_family","design_role","scientific_question","design_axis","outcome_scope","treatment_scope","instrument_scope","adjustment_scope","estimator_scope","execution_policy","multiplicity_family","prerequisite","admissible","admissibility_reason","implementation_status","candidate_cells","implemented_cells","execution_cells","rationale"
"public_headline_registered","Prompt 1 §35; specification-governance consolidation","public_iv","primary_and_registered_robustness","What are the registered headline consumption estimands under the preferred honest state-FE benchmark?","headline_estimand","public consumption change/ANCOVA plus inherited nominal robustness","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","registered public model-specific adjustments","2sls","estimate","public_headline","none",TRUE,"admissible_primary_and_registered_robustness","implemented",4,4,4,"Public output contract; all rows are canonical IV specifications and the state-FE benchmark is retained even when relevance is weak."
"consumption_registered_dynamics","Prompt 1 §§11-12,35","consumption_iv","registered_dynamic_family","How do real-consumption effects vary by post-treatment horizon and ANCOVA versus change estimand?","outcome_year_and_estimand","registered real-mean-MPCE endpoint ANCOVA/change designs","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","state_main","first_stage+reduced_form+2sls+anderson_rubin","estimate","consumption_registered_dynamics","none",TRUE,"admissible_registered_dynamic_family","implemented",8,8,8,"Endpoint and estimand variation are substantively meaningful and were registered before estimation."
"consumption_exclusion_sensitivity","Weak-IV information plan: Conley-style bounded exclusion sensitivity","consumption_iv","partial_identification_sensitivity","How much direct effect of linguistic distance on welfare can be allowed before the headline structural conclusions change?","exclusion_restriction","registered 2022-24 real-mean-MPCE ANCOVA/change designs","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","state_main; bounded direct-effect support","bounded_exclusion_ar","estimate","none_sensitivity_calibration","none",TRUE,"admissible_partial_identification_sensitivity","implemented",4,4,4,"The sensitivity analysis relaxes exact exclusion while retaining state-clustered weak-IV-robust Anderson--Rubin inversion. Headline scope is deliberately limited to the two modern HCES endpoints under ANCOVA and change; reduced-form-scaled bounds are fragility calibrations, not post-hoc claims about a substantively known prior for the direct effect."
"consumption_candidate_scalar_iv_grid","Prompt 1 §§4,26-29,35","consumption_iv","candidate_robustness","Do conclusions survive the serious scalar linguistic-distance bases and both defensible geographic adjustment levels?","instrument_definition_by_geography","registered consumption endpoint designs","emi_exposure_all_children_0708","Shastry/Glottolog/Dyen scalar candidates","region_main/state_main","first_stage+reduced_form+2sls+anderson_rubin","estimate","consumption_scalar_iv_robustness","none",TRUE,"admissible_candidate_robustness","implemented",48,48,48,"This six-design family is theoretically bounded by instrument basis and honest geographic adjustment. It is estimated on one common district sample across the six designs within each endpoint/estimand, with Holm correction both within endpoint and across the full registered family."
"consumption_alternative_welfare_outcomes","Prompt 1 §11","consumption_iv","candidate_robustness","Are welfare conclusions robust to functional-form and distributional response definitions already measured by the survey-design welfare layer?","response_definition","mean-log, median, and bottom-40 welfare outcomes at supported endpoints","emi_exposure_all_children_0708","Shastry/Glottolog/Dyen scalar candidates","region_main/state_main","first_stage+reduced_form+2sls+anderson_rubin","estimate","consumption_welfare_robustness","endpoint-specific support/comparability registry",TRUE,"admissible_candidate_robustness","implemented",120,120,120,"These outcomes are already measured and theoretically interpretable. Only survey-compatible endpoint pairs enter, all six scalar designs share common support within each welfare definition, and Holm adjustment is frozen within definition and across the full secondary family."
"emi_intensive_margin_robustness","Prompt 1 §18; Response 2 EMI decomposition","consumption_iv","candidate_robustness","Does the welfare relationship differ when treatment is English-medium choice conditional on enrollment rather than all-child exposure?","treatment_definition","registered consumption endpoint designs","emi_share_enrolled_0708","Shastry/Glottolog/Dyen scalar candidates","region_main/state_main","first_stage+reduced_form+2sls+anderson_rubin","estimate","consumption_treatment_robustness","registered enrolled-child EMI share and endpoint-specific common support",TRUE,"admissible_candidate_robustness","implemented",48,48,48,"The intensive medium margin is substantively distinct and was the original treatment concept; it is estimated as its own frozen 48-cell robustness family rather than silently substituted for all-child exposure or merged retrospectively with the already-observed preferred-treatment family."
"consumption_control_strategy_robustness","Prompt 1 §3; control-set critique; Shastry identification discussion","consumption_iv","candidate_robustness","Do consumption conclusions depend on the causal role assigned to baseline controls, rather than on a single historically named main set?","control_strategy","registered consumption endpoint designs","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","region/state FE crossed with geography-only, compact-2001, and compact-2001-without-human-capital strategies","first_stage+reduced_form+2sls+anderson_rubin","estimate","consumption_control_strategy","none",TRUE,"admissible_candidate_robustness","implemented",48,48,48,"No single 2001 control vector is uniquely justified by IV theory. Geography-only designs avoid conditioning on possible descendants of historical linguistic structure; compact 2001 adjustment addresses observed exclusion threats; and omitting human capital probes a particularly plausible language/education pathway. This finite strategy family is more interpretable than arbitrary covariate subsets."
"consumption_control_parameterization_robustness","Prompt 1 §3; Response 2 controls","consumption_iv","candidate_robustness","Do causal conclusions depend on theoretically substitutable measures of baseline human capital or economic structure?","control_parameterization","registered consumption endpoint designs","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","within compact 2001 adjustment, region/state FE crossed with registered literacy/secondary-plus and compact/decomposed economic-structure parameterizations","first_stage+reduced_form+2sls+anderson_rubin","estimate","consumption_control_parameterization","none",TRUE,"admissible_candidate_robustness","implemented",64,64,64,"This family asks a measurement question conditional on the compact-2001 strategy. The benchmark secondary-plus/compact-economic specification is re-estimated on the same common sample as the three registered substitutions under each FE, so sensitivity is not confounded by sample drift. The finite 2 FE x 4 parameterization grid is distinct from causal control-strategy robustness."
"historical_1991_adjustment_robustness","Prompt 1 §35; historical controls discussion","consumption_iv","candidate_robustness","Do consumption conclusions survive replacing compact 2001 adjustment with a more remote predetermined 1991 PCA baseline on the same production geography and sample?","control_vintage","registered consumption endpoint designs","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","region/state crossed with compact-2001 benchmark and population-interpolated PCA91 controls at the frozen 99% source-coverage threshold","first_stage+reduced_form+2sls+anderson_rubin","estimate","consumption_historical_adjustment","G2 population-interpolated PCA91 controls on Census-2001 production geography",TRUE,"admissible_candidate_robustness","implemented",32,32,32,"The benchmark is re-estimated on the same four-design common sample as the 1991 adjustment, so the comparison is not driven by support changes. PCA91 is more remote from 2007-08 EMI and uses Census population, composition, literacy, and worker structure, but it is not a pure same-variable vintage substitution because the available 1991 and compact-2001 concept sets differ."
"historical_1991_concept_matched_robustness","Historical controls follow-up; Vanneman 1961-91 archive","consumption_iv","candidate_robustness","Does the remote-baseline result survive a 1991 control vector that more closely matches the compact-2001 concepts?","historical_control_source","registered consumption endpoint designs","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","region/state crossed with compact-2001, PCA91, and Vanneman concept-matched 1991 controls on common support","first_stage+reduced_form+2sls+anderson_rubin","estimate","consumption_historical_concept_matched","verified Vanneman dist91 archive plus frozen G2 1991-to-2001 population interpolation",TRUE,"admissible_candidate_robustness","implemented",48,48,48,"Vanneman dist91 supplies 1991 analogues for urbanization, SC/ST and Muslim composition, matriculation, agricultural employment, age dependency, and household electricity that are missing from the thinner PCA91 causal vector. Keeping PCA91 and compact-2001 benchmarks in the same six-design common-support family separates source/concept sensitivity from sample drift."
"shastry_geographic_access_controls","Response 2 Shastry controls","public_iv","candidate_robustness","Could market access/geography confound linguistic distance with gains from post-liberalization economic change?","predetermined_geographic_access","registered consumption endpoint designs","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","region/state + distance to 1991 major city + coast","first_stage+reduced_form+2sls+anderson_rubin","requires_data","shastry_geographic_access","frozen 1991 city list and reviewed coastline geometry",TRUE,"admissible_candidate_robustness","data_unavailable",16,0,0,"The reference identifies major-city distance and coast as theoretically motivated predetermined access controls, but they should not be fabricated from current population or substituted with unrelated rail-distance measures."
"shastry_hindi_belt_region_comparison","Response 2 Shastry controls","first_stage_relevance","candidate_robustness","Does the broad-region relevance pattern reflect the distinctive Hindi-belt political/institutional environment?","regional_institutional_control","EMI/EMIE treatment relevance","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","region/no-state designs + Hindi-belt indicator","first_stage","estimate","not_applicable","Shastry's published Hindi-belt state definition frozen on Census-2001 state codes",TRUE,"admissible_candidate_robustness","implemented",2,2,2,"Shastry defines this institutional control independently of district Hindi-speaker share. The diagnostic adds that state-level indicator to the main-control first stage with no FE and six-region FE on one common support; state FE are excluded because they absorb the indicator."
"shastry_child_population_5_19_comparison","Response 2 Shastry controls","first_stage_relevance","candidate_robustness","Does Shastry's age-eligible child-population scale control materially change the broad first-stage relationship?","predetermined_demographic_control","EMI/EMIE treatment relevance","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","main Census controls + log Census-2001 population age 5-19, with no FE or six-region FE","first_stage","estimate","not_applicable","Census 2001 C-14 five-year age bands",TRUE,"admissible_candidate_robustness","implemented",2,2,2,"Response 2 recommends Shastry's child-population control only as a comparison specification. C-14 directly supplies district counts for ages 5-9, 10-14, and 15-19, so no new source or age interpolation is needed."
"genuine_emi_school_supply","Response 2 genuine EMI supply","district_schooling_mechanism","future_goal","Does the local stock of schools offering English-medium instruction predict realized EMI exposure separately from enrollment demand?","school_level_emi_supply","district share of schools offering EMI","not_applicable","not_applicable","school-level medium-of-instruction census or complete DISE school microdata","descriptive+mechanism","requires_data","not_applicable","school-level medium-of-instruction records with complete school denominators",TRUE,"admissible_future_goal","data_unavailable",NA,0,0,"The archived DISE district-report-card files report children by medium, not the number of schools offering each medium, and explicitly warn that medium enrollment applies only to reporting schools. Re-labeling enrollment shares as school supply would violate the measurement contract."
"ihds_emi_capability_mobility_followup","Response 2 IHDS extension","future_microdata","future_goal","Can individual school medium be linked longitudinally to English capability, migration, and early labor-market outcomes?","individual_longitudinal_linkage","English proficiency, migration, employment, occupation, wages","individual EMI exposure","not_applicable","IHDS-I/II individual and household covariates","longitudinal_microdata","requires_data","not_applicable","reviewed IHDS-I to IHDS-II linkage and feasibility sample",TRUE,"admissible_future_goal","deferred",NA,0,0,"This is a separately scoped follow-on paper, not a missing district-IV cell. The first task is a linkage/feasibility study, as specified in Response 2."
"low_cost_private_school_followup","Response 2 low-cost private schools","future_schooling_project","future_goal","How did affordable private schooling evolve across the RTE period, and how does affordability interact with EMI and school quality?","school_sector_affordability","private-school participation, fees, quality, EMI","not_applicable","not_applicable","NSS64/NSS71 expenditure or school-fee microdata","descriptive+longitudinal","requires_data","not_applicable","predeclared affordability definition; private unaided must not be equated with low-cost",TRUE,"admissible_future_goal","deferred",NA,0,0,"Response 2 explicitly treats this as a separate paper-scale project. Fee/cost information is required before any school can be called low-cost."
"mother_tongue_vs_emi_learning_followup","Response 2 mother-tongue instruction","future_learning_project","future_goal","How do mother-tongue instruction and English-medium instruction differ in comprehension and learning outcomes?","instruction_language_learning","learning and comprehension outcomes","mother-tongue instruction versus EMI","not_applicable","individual/school learning covariates","learning_outcome_models","requires_data","not_applicable","data observing instructional language and comparable learning outcomes",TRUE,"admissible_future_goal","deferred",NA,0,0,"Current NSS/DISE medium fields do not observe classroom language fidelity or comparable learning outcomes. The distinction remains scientifically important but belongs to a future data-supported project."
"shastry_1987_wage_controls","Response 2 Shastry controls","replication_robustness","deferred_replication","Would closer replication of Shastry's pre-period wage and educated-wage controls materially change the historical comparison?","historical_labor_market_controls","Shastry-comparison designs","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","historical wage/educated-wage controls","first_stage+outcome_robustness","requires_data","not_applicable","NSS 43rd-round geography and weighting subsystem",TRUE,"admissible_deferred_replication","deferred",NA,0,0,"The reference regards these controls as reconstructible but low priority because Census-2001 controls already cover much of the substantive dimension; no proxy should be invented."
"consumption_full_diagnostic_cartesian","Specification-governance critique","consumption_iv","non_goal","Should every endpoint be crossed mechanically with every diagnostic IV specification?","mechanical_cartesian","registered consumption endpoint designs","emi_exposure_all_children_0708","all diagnostic constructions","all diagnostic adjustments","first_stage+reduced_form+2sls+anderson_rubin","do_not_estimate","not_applicable","none",FALSE,"mechanical_cartesian_without_scientific_estimand","not_applicable",952,8,8,"Representability is not justification. The diagnostic universe exists to understand identification, not to create an outcome-model specification search."
"cross_robustness_axes_without_interaction_rationale","Specification-governance critique","consumption_iv","non_goal","Should alternative outcome, treatment, instrument, and control robustness axes be fully crossed merely because each axis is individually defensible?","mechanical_cross_axis_interactions","all robustness outcomes","all robustness treatments","all robustness instruments","all robustness controls","all estimators","do_not_estimate","not_applicable","none",FALSE,"cross_axis_interaction_lacks_independent_theory","not_applicable",NA,0,0,"Each robustness axis can be scientifically justified without implying that every interaction among robustness axes is itself a scientific estimand; cross-axis interactions require their own theory and preregistration."
"posttreatment_mechanisms_as_controls","Response 3 methodological guardrail","public_iv","non_goal","Should post-treatment mechanisms be conditioned on in the preferred outcome equation?","bad_control","post-treatment Census/firm/migration/labor measures","emi_exposure_all_children_0708","not_applicable","not_applicable","not_applicable","do_not_estimate","not_applicable","none",FALSE,"post_treatment_bad_control_changes_estimand","not_applicable",NA,0,0,"Post-treatment mechanisms are outcomes/evidence layers, not preferred baseline controls; conditioning on them would change the estimand and can induce bad-control bias."
